  1414018	 a4526513	 b6665949	 c1432988	 ç782278	 d4568086	 e2171212	 f1153097	 g3358101	 ð301	 h2255110	 ý60587	 i3471384	 j139514	 k4462462	 l677491	 m2170012	 n1034821	 o3623634	 ö465427	 p1119695	 q26807	 r702672	 s4691922	 þ522190	 t3186184	 u782085	 ü276407	 v1885244	 w527112	 x21305	 y3392226	 z542547	
m 1831537	ma4048584	mb116079	mc81511	mç647	md318743	me2869288	mf5539	mg13010	mð49	mh16902	mý638618	mi2014227	mj898	mk46042	ml540857	mm114563	mn21549	mo326914	mö2251	mp135402	mq121	mr31162	ms169292	mþ6420	mt14471	mu839143	mü283897	mv1981	mw2717	mx1021	my130445	mz15164	
n 9135276	na1830671	nb66411	nc754729	nç65724	nd3513786	ne2441455	nf38504	ng650081	nð106	nh11818	ný1231741	ni3072825	nj10619	nk242401	nl1397299	nm468041	nn188934	no419961	nö5606	np5397	nq2895	nr251467	ns747045	nþ8494	nt652389	nu1146609	nü203443	nv17485	nw3224	nx2304	ny211281	nz70954	
o 754950	oa37248	ob110899	oc232536	oç7102	od279888	oe33545	of261751	og283820	oð174242	oh81538	oý226	oi58463	oj55352	ok899579	ol2779316	om464937	on2121386	oo227003	oö84	op308063	oq1473	or2085628	os406393	oþ76263	ot435984	ou642456	oü51	ov150920	ow236324	ox12784	oy528475	oz301258	
ö 3046	öa346	öb13428	öc4996	öç3516	öd20919	öe1187	öf7139	ög6290	öð65182	öh2893	öý17	öi617	öj102	ök39787	öl137968	öm18691	ön292127	öo57	öö9339	öp29933	öq0	ör338749	ös50507	öþ10848	öt70560	öu22	öü203	öv16638	öw169	öx23	öy206764	öz324233	
p 718125	pa792672	pb1891	pc13810	pç8364	pd5109	pe474093	pf2422	pg5312	pð44	ph62334	pý158435	pi349315	pj646	pk28636	pl346257	pm120732	pn5164	po274223	pö1414	pp48419	pq179	pr265574	ps93707	pþ1337	pt190309	pu115991	pü19330	pv803	pw552	px436	py20464	pz422	
q 7319	qa951	qb210	qc93	qç3	qd538	qe256	qf95	qg25	qð1	qh38	qý57	qi450	qj13	qk18	ql1355	qm157	qn169	qo301	qö0	qp48	qq146	qr339	qs243	qþ2	qt322	qu63070	qü12	qv78	qw235	qx35	qy134	qz21	
r 4951989	ra3128909	rb129689	rc241529	rç120330	rd1391224	re2437030	rf73864	rg205635	rð173	rh64880	rý1218343	ri3691555	rj27080	rk1027556	rl990320	rm801857	rn222857	ro644545	rö7406	rp67715	rq2334	rr116854	rs729970	rþ114660	rt743759	ru1196679	rü237102	rv92784	rw7635	rx1966	ry210767	rz49788	
s 1351421	sa2508410	sb14101	sc94290	sç4532	sd11028	se2078436	sf19515	sg19215	sð41	sh228514	sý1147659	si3440728	sj996	sk284068	sl429345	sm282860	sn48894	so1149928	sö235045	sp167950	sq6745	sr30672	ss267515	sþ144	st1541976	su868563	sü198670	sv19099	sw28216	sx527	sy154128	sz1718	
þ 465306	þa447650	þb6118	þc2723	þç10699	þd1986	þe354226	þf4043	þg6216	þð28	þh6582	þý370710	þi382220	þj30	þk131159	þl259598	þm177504	þn2175	þo9701	þö25885	þp1003	þq8	þr7528	þs19958	þþ11499	þt385373	þu101546	þü99267	þv10819	þw35	þx7	þy6673	þz600	
t 1716313	ta2614834	tb46779	tc50859	tç23666	td9391	te2346030	tf21093	tg7995	tð215	th1049813	tý769703	ti2288375	tj693	tk82727	tl533081	tm492810	tn18020	to735504	tö30918	tp48384	tq103	tr479789	ts152550	tþ258	tt574057	tu858784	tü426917	tv30195	tw26746	tx863	ty75318	tz10412	
u 2073928	ua81498	ub116988	uc275056	uç52931	ud179571	ue87743	uf54704	ug342381	uð250720	uh137058	uý416	ui50901	uj4238	uk566364	ul1256255	um1006266	un2450210	uo14746	uö58	up264676	uq514	ur1868197	us802333	uþ226115	ut545460	uu35240	uü92	uv73036	uw1050	ux10102	uy533349	uz630019	
ü 290000	üa809	üb12980	üc54658	üç73376	üd39316	üe8493	üf22408	üg7178	üð78743	üh14322	üý26	üi315	üj1657	ük273933	ül240664	üm320835	ün744261	üo856	üö460	üp58725	üq19	ür533847	üs147932	üþ185387	üt89292	üu101	üü6612	üv19286	üw68	üx105	üy152950	üz405404	
v 56002	va847062	vb10296	vc26669	vç22	vd60231	ve2022766	vf1155	vg69067	vð15	vh3616	vý17996	vi412915	vj597	vk30353	vl98264	vm28808	vn2378	vo69195	vö255	vp788	vq24	vr135794	vs51028	vþ5837	vt1559	vu138169	vü15619	vv22695	vw357	vx1462	vy17667	vz8292	
w 119192	wa225802	wb2276	wc1361	wç2	wd2813	we160173	wf1628	wg668	wð3	wh151462	wý312	wi175812	wj314	wk2036	wl8469	wm1976	wn55409	wo106300	wö88	wp630	wq66	wr14420	ws28038	wþ108	wt2254	wu2366	wü187	wv1425	ww79873	wx159	wy2492	wz152	
x 47445	xa6328	xb509	xc5083	xç30	xd670	xe10061	xf927	xg184	xð2	xh693	xý142	xi14976	xj41	xk103	xl2750	xm981	xn285	xo2571	xö4	xp13509	xq69	xr197	xs1123	xþ6	xt14513	xu1799	xü35	xv507	xw341	xx6163	xy4084	xz110	
y 775999	ya3469788	yb48560	yc23274	yç596	yd221554	ye1737928	yf25781	yg101659	yð103	yh12117	yý461471	yi898599	yj317	yk58905	yl875464	ym101495	yn254755	yo1578928	yö54607	yp11290	yq51	yr220186	ys130721	yþ2880	yt43505	yu507787	yü218039	yv40850	yw9039	yx424	yy27016	yz10355	
z 1092135	za765147	zb13789	zc70225	zç181	zd231834	ze820454	zf259	zg72692	zð40	zh3952	zý260898	zi683116	zj60	zk15416	zl566678	zm148942	zn7559	zo106312	zö1544	zp718	zq103	zr6312	zs38379	zþ68	zt6431	zu206671	zü103521	zv1973	zw782	zx212	zy37769	zz42381	
